"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2017","210.54","210.54","210.72","210.32","1.15M","-0.02%"
"05/30/2017","210.21","210.21","210.52","209.97","1.07M","-0.16%"
"05/31/2017","210.00","210.41","210.41","209.32","1.58M","-0.10%"
"06/01/2017","211.40","210.27","211.40","209.91","1.83M","0.67%"
"06/02/2017","211.91","211.45","212.21","211.27","2.31M","0.24%"
"06/05/2017","211.86","211.86","212.21","211.64","1.92M","-0.02%"
"06/06/2017","211.37","211.33","211.78","211.17","2.10M","-0.23%"
"06/07/2017","211.72","211.69","211.92","211.14","1.55M","0.17%"
"06/08/2017","211.86","211.62","212.70","211.39","2.03M","0.07%"
"06/09/2017","212.67","212.15","213.07","211.59","4.27M","0.38%"
"06/12/2017","212.40","212.46","212.78","211.88","3.68M","-0.13%"
"06/13/2017","213.37","212.80","213.39","212.75","2.43M","0.46%"
"06/14/2017","213.84","213.78","214.00","212.98","5.42M","0.22%"
"06/15/2017","213.69","212.89","213.80","212.75","2.57M","-0.07%"
"06/16/2017","213.56","213.33","213.58","212.82","2.37M","-0.06%"
"06/19/2017","214.92","214.36","215.01","214.08","2.10M","0.64%"
"06/20/2017","214.40","214.89","215.07","214.37","1.76M","-0.24%"
"06/21/2017","213.89","214.65","214.67","213.64","2.13M","-0.24%"
"06/22/2017","213.73","214.08","214.29","213.66","2.70M","-0.07%"
"06/23/2017","213.74","213.44","213.95","213.06","1.35M","0.00%"
"06/26/2017","213.87","214.29","214.76","213.53","1.94M","0.06%"
"06/27/2017","212.93","213.71","214.13","212.87","1.98M","-0.44%"
"06/28/2017","214.24","213.58","214.53","213.58","4.69M","0.62%"
"06/29/2017","212.61","214.52","214.55","211.70","4.37M","-0.76%"
"06/30/2017","213.24","213.15","213.99","212.97","2.22M","0.30%"
"07/03/2017","214.49","213.95","215.38","213.88","2.14M","0.59%"
"07/05/2017","214.58","214.74","214.83","213.83","1.80M","0.04%"
"07/06/2017","213.14","214.09","214.25","212.94","2.30M","-0.67%"
"07/07/2017","214.05","213.54","214.16","213.42","1.33M","0.43%"
"07/10/2017","213.99","213.68","214.35","213.54","1.16M","-0.03%"
"07/11/2017","213.98","213.91","214.29","212.68","1.58M","0.00%"
"07/12/2017","215.23","214.98","215.70","214.89","2.10M","0.58%"
"07/13/2017","215.46","215.30","215.56","215.00","1.59M","0.11%"
"07/14/2017","216.26","215.30","216.68","215.11","2.40M","0.37%"
"07/17/2017","216.22","216.32","216.49","216.04","2.29M","-0.02%"
"07/18/2017","215.70","215.66","215.81","214.63","2.25M","-0.24%"
"07/19/2017","216.32","215.89","216.34","215.66","1.79M","0.29%"
"07/20/2017","216.19","216.57","216.58","215.71","1.37M","-0.06%"
"07/21/2017","215.53","215.19","215.55","214.76","2.22M","-0.31%"
"07/24/2017","215.09","215.51","215.51","214.68","1.46M","-0.20%"
"07/25/2017","215.86","216.50","216.52","215.49","1.92M","0.36%"
"07/26/2017","216.81","216.81","217.16","216.56","2.04M","0.44%"
"07/27/2017","217.72","217.28","217.75","216.63","3.20M","0.42%"
"07/28/2017","218.02","217.53","218.16","217.30","2.31M","0.14%"
"07/31/2017","218.70","218.65","219.03","218.49","1.76M","0.31%"
"08/01/2017","219.37","219.74","219.80","219.15","2.31M","0.31%"
"08/02/2017","219.89","219.83","220.13","219.44","3.06M","0.24%"
"08/03/2017","220.06","219.93","220.23","219.72","2.50M","0.08%"
"08/04/2017","220.57","220.64","220.67","220.03","1.88M","0.23%"
"08/07/2017","220.85","220.75","220.98","220.60","1.90M","0.13%"
"08/08/2017","220.69","220.80","221.68","220.44","3.62M","-0.07%"
"08/09/2017","220.50","220.33","220.61","219.96","3.56M","-0.09%"
"08/10/2017","218.60","219.81","219.90","218.55","7.83M","-0.86%"
